date,Unnamed: 0,Alberta,British Columbia,Manitoba,Nova Scotia,Ontario,Quebec,Saskatchewan,AOQ_total,AOQ_normalized_3000,AOQ_adjusted_50,AOQ_adjusted_100
2022-01-31,465,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022-02-28,1246,0,0,0,2,0,0,0,0,0.0,0.0,0.0
2022-03-31,2294,0,0,0,0,3,0,0,3,0.001,0.05,0.1
2022-04-30,3135,15,1,1,0,13,4,5,32,0.010666666666666666,0.5333333333333333,1.0666666666666667
2022-05-31,4185,4,2,0,0,4,0,1,8,0.0026666666666666666,0.13333333333333333,0.26666666666666666
2022-06-30,4965,0,1,0,0,0,1,0,1,0.0003333333333333333,0.016666666666666666,0.03333333333333333
2022-07-31,6076,1,0,0,0,0,3,0,4,0.0013333333333333333,0.06666666666666667,0.13333333333333333
2022-08-31,7037,2,0,0,0,0,1,0,3,0.001,0.05,0.1
2022-09-30,7725,13,1,8,0,2,0,5,15,0.005,0.25,0.5
2022-10-31,8928,1,2,8,0,1,6,4,8,0.0026666666666666666,0.13333333333333333,0.26666666666666666
2022-11-30,9555,2,31,0,0,3,1,1,6,0.002,0.1,0.2
2022-12-31,10819,0,33,0,0,3,0,0,3,0.001,0.05,0.1
2023-01-31,11780,0,6,0,0,0,2,0,2,0.0006666666666666666,0.03333333333333333,0.06666666666666667
2023-02-28,11466,0,0,0,0,0,6,0,6,0.002,0.1,0.2
2023-03-31,13609,0,0,0,0,1,1,0,2,0.0006666666666666666,0.03333333333333333,0.06666666666666667
2023-04-30,14085,0,1,0,0,2,13,0,15,0.005,0.25,0.5
2023-05-31,15500,0,0,0,0,0,1,0,1,0.0003333333333333333,0.016666666666666666,0.03333333333333333
2023-06-30,15915,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2023-07-31,17391,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2023-08-31,18352,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2023-09-30,18675,2,0,0,0,0,0,1,2,0.0006666666666666666,0.03333333333333333,0.06666666666666667
2023-10-31,20243,3,4,0,0,0,1,2,4,0.0013333333333333333,0.06666666666666667,0.13333333333333333
2023-11-30,20505,3,41,1,0,0,2,3,5,0.0016666666666666668,0.08333333333333334,0.16666666666666669
2023-12-31,22134,2,4,0,0,0,1,0,3,0.001,0.05,0.1
2024-01-31,23095,0,0,0,0,1,1,0,2,0.0006666666666666666,0.03333333333333333,0.06666666666666667
2024-02-29,22475,1,0,0,0,0,1,0,2,0.0006666666666666666,0.03333333333333333,0.06666666666666667
2024-03-31,24955,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024-04-30,25065,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024-05-31,26846,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024-06-30,26895,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024-07-31,28737,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024-08-31,29698,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024-09-30,29655,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024-10-31,31589,0,9,0,0,0,0,1,0,0.0,0.0,0.0
2024-11-30,31485,1,46,1,0,0,0,0,1,0.0003333333333333333,0.016666666666666666,0.03333333333333333
2024-12-31,33480,0,15,0,0,6,0,0,6,0.002,0.1,0.2
2025-01-31,34441,0,5,0,0,2,1,0,3,0.001,0.05,0.1
2025-02-28,31934,0,0,0,0,1,0,0,1,0.0003333333333333333,0.016666666666666666,0.03333333333333333
2025-03-31,36270,0,0,0,0,2,0,0,2,0.0006666666666666666,0.03333333333333333,0.06666666666666667
2025-04-30,36015,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-05-31,38161,0,0,1,0,0,0,0,0,0.0,0.0,0.0
2025-06-30,37845,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-07-31,40052,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-08-31,41013,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2025-09-30,40605,4,0,0,0,0,1,0,5,0.0016666666666666668,0.08333333333333334,0.16666666666666669
2025-10-31,42904,7,13,5,0,1,2,4,10,0.0033333333333333335,0.16666666666666669,0.33333333333333337
2025-11-30,42435,5,10,0,0,5,2,1,12,0.004,0.2,0.4
2025-12-31,43335,0,3,1,0,4,1,1,5,0.0016666666666666668,0.08333333333333334,0.16666666666666669
