Date detected,Infected premises,Province,Premises type,Premises classification,PCZ,PCZ status
"December 30, 2025",ON-IP71,Ontario,commercial,poultry,PCZ-315,Active
"December 21, 2025",ON-IP70,Ontario,commercial,poultry,PCZ-315,Active
"December 19, 2025",BC-IP275,British Columbia,commercial,poultry,PCZ-FV6,Active
"December 19, 2025",BC-IP276,British Columbia,commercial,poultry,PCZ-FV5,Active
"December 19, 2025",ON-IP69,Ontario,commercial,poultry,PCZ-315,Active
"December 15, 2025",ON-IP68,Ontario,commercial,poultry,PCZ-315,Active
"December 12, 2025",QC-IP67,Quebec,commercial,poultry,PCZ-314,Active
"December 4, 2025",BC-IP272,British Columbia,commercial,poultry,PCZ-FV6,Active
"December 2, 2025",SK-IP59,Saskatchewan,commercial,poultry,PCZ-312,Active
"December 1, 2025",MB-IP32,Manitoba,commercial,poultry,PCZ-311,Revoked
"November 29, 2025",BC-IP270,British Columbia,commercial,poultry,PCZ-FV4,Active
"November 29, 2025",ON-IP67,Ontario,commercial,poultry,PCZ-310,Active
"November 28, 2025",ON-IP66,Ontario,commercial,poultry,PCZ-308,Active
"November 26, 2025",ON-IP65,Ontario,commercial,poultry,PCZ-308,Active
"November 22, 2025",ON-IP64,Ontario,commercial,poultry,PCZ-302,Active
"November 21, 2025",AB-IP108,Alberta,commercial,poultry,PCZ-307,Active
"November 19, 2025",AB-IP106,Alberta,commercial,poultry,PCZ-306,Revoked
"November 18, 2025",QC-IP66,Quebec,commercial,poultry,PCZ-304,Active
"November 16, 2025",AB-IP105,Alberta,commercial,poultry,PCZ-303,Revoked
"November 14, 2025",ON-IP63,Ontario,commercial,poultry,PCZ-302,Active
"November 13, 2025",BC-IP265,British Columbia,commercial,poultry,PCZ-FV4,Active
"November 12, 2025",BC-IP263,British Columbia,commercial,poultry,PCZ-FV4,Active
"November 12, 2025",SK-IP56,Saskatchewan,commercial,poultry,PCZ-301,Revoked
"November 10, 2025",BC-IP262,British Columbia,commercial,poultry,PCZ-FV4,Active
"November 8, 2025",BC-IP261,British Columbia,commercial,poultry,PCZ-FV1,Revoked
"November 7, 2025",BC-IP260,British Columbia,commercial,poultry,PCZ-FV7,Active
"November 7, 2025",BC-IP258,British Columbia,commercial,poultry,PCZ-FV7,Active
"November 6, 2025",AB-IP104,Alberta,commercial,poultry,PCZ-300,Revoked
"November 5, 2025",BC-IP257,British Columbia,commercial,poultry,PCZ-FV6,Active
"November 4, 2025",QC-IP65,Quebec,commercial,poultry,PCZ-299,Revoked
"November 4, 2025",BC-IP255,British Columbia,commercial,poultry,PCZ-FV4,Active
"November 3, 2025",AB-IP103,Alberta,commercial,poultry,PCZ-298,Revoked
"November 1, 2025",BC-IP254,British Columbia,commercial,poultry,PCZ-297,Revoked
"October 31, 2025",BC-IP253,British Columbia,commercial,poultry,PCZ-FV4,Active
"October 30, 2025",AB-IP100,Alberta,commercial,poultry,PCZ-296,Revoked
"October 30, 2025",BC-IP251,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 30, 2025",AB-IP99,Alberta,commercial,poultry,PCZ-295,Revoked
"October 30, 2025",AB-IP98,Alberta,commercial,poultry,PCZ-294,Revoked
"October 28, 2025",BC-IP250,British Columbia,commercial,poultry,PCZ-FV3,Active
"October 28, 2025",AB-IP97,Alberta,commercial,poultry,PCZ-293,Revoked
"October 28, 2025",BC-IP249,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 27, 2025",BC-IP248,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 27, 2025",AB-IP96,Alberta,commercial,poultry,PCZ-292,Revoked
"October 26, 2025",BC-IP247,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 26, 2025",SK-IP54,Saskatchewan,commercial,poultry,PCZ-291,Revoked
"October 25, 2025",BC-IP246,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 25, 2025",BC-IP245,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 25, 2025",MB-IP31,Manitoba,commercial,poultry,PCZ-290,Revoked
"October 24, 2025",BC-IP242,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 24, 2025",BC-IP243,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 24, 2025",BC-IP244,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 23, 2025",SK-IP53,Saskatchewan,commercial,poultry,PCZ-289,Revoked
"October 23, 2025",BC-IP241,British Columbia,commercial,poultry,PCZ-FV6,Active
"October 21, 2025",MB-IP30,Manitoba,commercial,poultry,PCZ-288,Revoked
"October 16, 2025",MB-IP29,Manitoba,commercial,poultry,PCZ-285,Revoked
"October 16, 2025",SK-IP52,Saskatchewan,commercial,poultry,PCZ-286,Revoked
"October 15, 2025",QC-IP63,Quebec,commercial,poultry,PCZ-284,Revoked
"October 14, 2025",BC-IP240,British Columbia,commercial,poultry,PCZ-FV5,Active
"October 12, 2025",QC-IP62,Quebec,commercial,poultry,PCZ-283,Revoked
"October 10, 2025",MB-IP28,Manitoba,commercial,poultry,PCZ-282,Revoked
"October 8, 2025",ON-IP62,Ontario,commercial,poultry,PCZ-280,Revoked
"October 9, 2025",MB-IP27,Manitoba,commercial,poultry,PCZ-281,Revoked
"October 7, 2025",AB-IP94,Alberta,commercial,poultry,PCZ-279,Revoked
"October 2, 2025",AB-IP92,Alberta,commercial,poultry,PCZ-278,Revoked
"October 1, 2025",SK-IP50,Saskatchewan,commercial,poultry,PCZ-277,Revoked
"September 15, 2025",QC-IP60,Quebec,commercial,poultry,PCZ-276,Revoked
"September 15, 2025",AB-IP91,Alberta,commercial,poultry,PCZ-275,Revoked
"September 10, 2025",AB-IP90,Alberta,commercial,poultry,PCZ-274,Revoked
"September 9, 2025",AB-IP88,Alberta,commercial,poultry,PCZ-272,Revoked
"September 9, 2025",AB-IP89,Alberta,commercial,poultry,PCZ-273,Revoked
"May 2, 2025",MB-IP25,Manitoba,commercial,poultry,PCZ-268,Revoked
"March 24, 2025",ON-IP61,Ontario,commercial,poultry,PCZ-266,Revoked
"March 13, 2025",ON-IP60,Ontario,commercial,poultry,PCZ-264,Revoked
"February 28, 2025",ON-IP59,Ontario,commercial,poultry,PCZ-262,Revoked
"January 30, 2025",QC-IP59,Quebec,commercial,poultry,PCZ-260,Revoked
"January 11, 2025",BC-IP239,British Columbia,commercial,poultry,PCZ FV4,Revoked
"January 11, 2025",BC-IP238,British Columbia,commercial,poultry,PCZ FV5,Revoked
"January 10, 2025",ON-IP57,Ontario,commercial,poultry,PCZ-259,Revoked
"January 5, 2025",BC-IP237,British Columbia,commercial,poultry,PCZ FV4,Revoked
"January 4, 2025",BC-IP236,British Columbia,commercial,poultry,PCZ FV4,Revoked
"January 3, 2025",ON-IP56,Ontario,commercial,poultry,PCZ-258,Revoked
"January 1, 2025",BC-IP235,British Columbia,commercial,poultry,PCZ FV4,Revoked
"December 31, 2024",BC-IP234,British Columbia,commercial,poultry,PCZ FV5,Revoked
"December 27, 2024",ON-IP55,Ontario,commercial,poultry,PCZ-256,Revoked
"December 23, 2024",BC-IP232,British Columbia,commercial,poultry,PCZ FV6,Revoked
"December 20, 2024",ON-IP54,Ontario,commercial,poultry,PCZ-255,Revoked
"December 20, 2024",ON-IP53,Ontario,commercial,poultry,PCZ-254,Revoked
"December 20, 2024",ON-IP52,Ontario,commercial,poultry,PCZ-254,Revoked
"December 19, 2024",ON-IP51,Ontario,commercial,poultry,PCZ-253,Revoked
"December 17, 2024",BC-IP231,British Columbia,commercial,poultry,PCZ FV6,Revoked
"December 14, 2024",ON-IP50,Ontario,commercial,poultry,PCZ-252,Revoked
"December 13, 2024",BC-IP230,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"December 10, 2024",BC-IP229,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"December 10, 2024",BC-IP228,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-236 Revoked
"December 9, 2024",BC-IP227,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"December 8, 2024",BC-IP226,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 8, 2024",BC-IP225,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 6, 2024",BC-IP224,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 4, 2024",BC-IP223,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"December 4, 2024",BC-IP222,British Columbia,commercial,poultry,PCZ FV7,Revoked  PCZ-242 Revoked
"December 4, 2024",BC-IP221,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"December 3, 2024",BC-IP220,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"December 1, 2024",BC-IP219,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 30, 2024",BC-IP218,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 30, 2024",BC-IP217,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 29, 2024",BC-IP216,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 29, 2024",BC-IP215,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 28, 2024",BC-IP214,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"November 27, 2024",BC-IP213,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 26, 2024",MB-IP24,Manitoba,commercial,poultry,PCZ-250,Revoked
"November 24, 2024",BC-IP212,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 23, 2024",BC-IP211,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 22, 2024",BC-IP210,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 22, 2024",BC-IP209,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 21, 2024",BC-IP206,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 21, 2024",BC-IP205,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-248 Revoked
"November 20, 2024",BC-IP204,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 20, 2024",BC-IP203,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 20, 2024",BC-IP202,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 19, 2024",BC-IP201,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 19, 2024",BC-IP200,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 17, 2024",BC-IP199,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-240 Revoked
"November 17, 2024",BC-IP198,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
"November 17, 2024",BC-IP197,British Columbia,commercial,poultry,PCZ FV5,Revoked  PCZ-237 Revoked
"November 17, 2024",BC-IP196,British Columbia,commercial,poultry,PCZ FV4,Revoked  PCZ-240 Revoked
"November 16, 2024",BC-IP195,British Columbia,commercial,poultry,PCZ FV6,Revoked  PCZ-239 Revoked
