Date detected,Infected Premises (IP) location Question,Province,Premises type Question,WOAH premises classification Question,Primary control zone (PCZ) Question - Map,Status of order declaring PCZ
"January 8, 2026",BC-IP277  Capital Regional District quarantine,British Columbia,non-commercial,poultry,To be determined,To be determined
"December 30, 2025",ON-IP71  Municipality of North Perth quarantine,Ontario,commercial,poultry,PCZ-315,Active
"December 23, 2025",QC-IP68  Pierre-De Saurel Regional County Municipality quarantine,Quebec,non-commercial,non-poultry,,
"December 21, 2025",ON-IP70  Municipality of North Perth quarantine,Ontario,commercial,poultry,PCZ-315,Active
"December 19, 2025",BC-IP275  City of Abbotsford quarantine,British Columbia,commercial,poultry,PCZ-FV6,Active
"December 19, 2025",BC-IP276  City of Abbotsford quarantine,British Columbia,commercial,poultry,PCZ-FV5,Active
"December 19, 2025",ON-IP69  Municipality of North Perth quarantine,Ontario,commercial,poultry,PCZ-315,Active
"December 17, 2025",BC-IP274  City of Salmon Arm quarantine,British Columbia,non-commercial,non-poultry,,
"December 15, 2025",ON-IP68  Municipality of North Perth quarantine,Ontario,commercial,poultry,PCZ-315,Active
"December 12, 2025",SK-IP60  Rural Municipality of Barrier Valley No. 397 quarantine,Saskatchewan,non-commercial,poultry,PCZ-318,Active
"December 12, 2025",QC-IP67  La Haute-Yamaska Regional County Municipality quarantine,Quebec,commercial,poultry,PCZ-314,Active
"December 11, 2025",BC-IP273  Regional District of Comox Valley quarantine,British Columbia,non-commercial,poultry,PCZ-317,Active
"December 9, 2025",AB-IP112  Foothills County quarantine,Alberta,non-commercial,non-poultry,,
"December 5, 2025",AB-IP111  Newell County No. 4 quarantine,Alberta,non-commercial,poultry,PCZ-316,Active
"December 4, 2025",BC-IP272  City of Abbotsford quarantine,British Columbia,commercial,poultry,PCZ-FV6,Active
"November 27, 2025",AB-IP110  Barrhead County No. 11 quarantine,Alberta,non-commercial,non-poultry,,
"December 2, 2025",SK-IP59  Rural Municipality of Vanscoy No. 345 quarantine,Saskatchewan,commercial,poultry,PCZ-312,Active
"December 1, 2025",MB-IP32Footnote *  Rural Municipality of De Salaberry,Manitoba,commercial,poultry,PCZ-311,Revoked
"December 1, 2025",BC-IP271  Langley Township quarantine,British Columbia,non-commercial,poultry,PCZ-FV4,Active
"November 29, 2025",BC-IP270  Langley Township quarantine,British Columbia,commercial,poultry,PCZ-FV4,Active
"November 28, 2025",BC-IP269  Thompson-Nicola regional district quarantine,British Columbia,non-commercial,non-poultry,,
"November 27, 2025",BC-IP268  Langley Township quarantine,British Columbia,non-commercial,poultry,PCZ-FV4,Active
"November 29, 2025",ON-IP67  Municipality of Strathroy-Caradoc quarantine,Ontario,commercial,poultry,PCZ-310,Active
"November 28, 2025",ON-IP66  Municipality of Strathroy-Caradoc quarantine,Ontario,commercial,poultry,PCZ-308,Active
"November 26, 2025",ON-IP65  Municipality of Strathroy-Caradoc quarantine,Ontario,commercial,poultry,PCZ-308,Active
"November 26, 2025",BC-IP267Footnote *  Cariboo Regional District,British Columbia,non-commercial,poultry,PCZ-309,Revoked
"November 22, 2025",ON-IP64  Municipality of Strathroy-Caradoc quarantine,Ontario,commercial,poultry,PCZ-302,Active
"November 21, 2025",AB-IP109  Grande Prairie County No. 1 quarantine,Alberta,non-commercial,poultry,PCZ-313,Active
"November 21, 2025",AB-IP107  Sturgeon County quarantine,Alberta,non-commercial,non-poultry,,
"November 21, 2025",AB-IP108  Municipal District of Taber quarantine,Alberta,commercial,poultry,PCZ-307,Active
"November 21, 2025",SK-IP58  Rural Municipality of Ituna Bon Accord No. 246 quarantine,Saskatchewan,non-commercial,non-poultry,,
"November 19, 2025",AB-IP106  Strathcona County quarantine,Alberta,commercial,poultry,PCZ-306,Revoked
"November 18, 2025",QC-IP66  La Vallée-de-l'Or Regional County Municipality quarantine,Quebec,commercial,poultry,PCZ-304,Active
"November 16, 2025",AB-IP105Footnote *  Lethbridge County,Alberta,commercial,poultry,PCZ-303,Revoked
"November 14, 2025",BC-IP266  District of Summerland quarantine,British Columbia,non-commercial,non-poultry,,
